protein	synthesis rate (nmol protein/mmol c6 unit)
PROSYN-Clo1313_0011      	 4.49431555E-01
PROSYN-Clo1313_0020      	 3.01984966E+00
PROSYN-Clo1313_0021      	 3.01984966E+00
PROSYN-Clo1313_0022      	 3.01984966E+00
PROSYN-Clo1313_0023      	 3.01984966E+00
PROSYN-Clo1313_0030      	 2.71639006E-02
PROSYN-Clo1313_0034      	 0.00000000E+00
PROSYN-Clo1313_0046      	 0.00000000E+00
PROSYN-Clo1313_0061      	 0.00000000E+00
PROSYN-Clo1313_0062      	 0.00000000E+00
PROSYN-Clo1313_0063      	 0.00000000E+00
PROSYN-Clo1313_0064      	 0.00000000E+00
PROSYN-Clo1313_0065      	 0.00000000E+00
PROSYN-Clo1313_0066      	 0.00000000E+00
PROSYN-Clo1313_0068      	 0.00000000E+00
PROSYN-Clo1313_0073      	 0.00000000E+00
PROSYN-Clo1313_0074      	 0.00000000E+00
PROSYN-Clo1313_0075      	 0.00000000E+00
PROSYN-Clo1313_0076      	 0.00000000E+00
PROSYN-Clo1313_0077      	 0.00000000E+00
PROSYN-Clo1313_0078      	 0.00000000E+00
PROSYN-Clo1313_0079      	 0.00000000E+00
PROSYN-Clo1313_0080      	 0.00000000E+00
PROSYN-Clo1313_0083      	 8.40240237E-03
PROSYN-Clo1313_0098      	 0.00000000E+00
PROSYN-Clo1313_0099      	 0.00000000E+00
PROSYN-Clo1313_0100      	 7.06849987E-01
PROSYN-Clo1313_0101      	 4.61339128E+00
PROSYN-Clo1313_0102      	 0.00000000E+00
PROSYN-Clo1313_0108      	 0.00000000E+00
PROSYN-Clo1313_0109      	 0.00000000E+00
PROSYN-Clo1313_0110      	 0.00000000E+00
PROSYN-Clo1313_0111      	 0.00000000E+00
PROSYN-Clo1313_0112      	 0.00000000E+00
PROSYN-Clo1313_0113      	 0.00000000E+00
PROSYN-Clo1313_0114      	 0.00000000E+00
PROSYN-Clo1313_0115      	 0.00000000E+00
PROSYN-Clo1313_0116      	 0.00000000E+00
PROSYN-Clo1313_0117      	 0.00000000E+00
PROSYN-Clo1313_0118      	 0.00000000E+00
PROSYN-Clo1313_0119      	 1.04325434E-01
PROSYN-Clo1313_0120      	 1.04325434E-01
PROSYN-Clo1313_0122      	 0.00000000E+00
PROSYN-Clo1313_0124      	 3.51654625E-02
PROSYN-Clo1313_0137      	 0.00000000E+00
PROSYN-Clo1313_0138      	 0.00000000E+00
PROSYN-Clo1313_0139      	 0.00000000E+00
PROSYN-Clo1313_0142      	 0.00000000E+00
PROSYN-Clo1313_0144      	 5.68629013E-01
PROSYN-Clo1313_0145      	 0.00000000E+00
PROSYN-Clo1313_0146      	 0.00000000E+00
PROSYN-Clo1313_0147      	 0.00000000E+00
PROSYN-Clo1313_0148      	 0.00000000E+00
PROSYN-Clo1313_0152      	 0.00000000E+00
PROSYN-Clo1313_0165      	 0.00000000E+00
PROSYN-Clo1313_0168      	 0.00000000E+00
PROSYN-Clo1313_0169      	 3.69430305E+02
PROSYN-Clo1313_0172      	 0.00000000E+00
PROSYN-Clo1313_0175      	 0.00000000E+00
PROSYN-Clo1313_0177      	 0.00000000E+00
PROSYN-Clo1313_0184      	 4.93618457E-02
PROSYN-Clo1313_0185      	 0.00000000E+00
PROSYN-Clo1313_0186      	 8.40240237E-03
PROSYN-Clo1313_0188      	 1.74671022E-02
PROSYN-Clo1313_0189      	 1.82724476E-03
PROSYN-Clo1313_0190      	 1.82724476E-02
PROSYN-Clo1313_0191      	 3.65448953E-03
PROSYN-Clo1313_0192      	 1.82724476E-03
PROSYN-Clo1313_0193      	 5.48173429E-03
PROSYN-Clo1313_0194      	 1.82724476E-03
PROSYN-Clo1313_0195      	 5.48173429E-03
PROSYN-Clo1313_0196      	 1.82724476E-03
PROSYN-Clo1313_0202      	 0.00000000E+00
PROSYN-Clo1313_0213      	 4.88503736E-02
PROSYN-Clo1313_0214      	 1.80176119E-02
PROSYN-Clo1313_0217      	 1.45859205E-01
PROSYN-Clo1313_0218      	 5.95768631E-01
PROSYN-Clo1313_0224      	 4.96985478E-05
PROSYN-Clo1313_0228      	 0.00000000E+00
PROSYN-Clo1313_0229      	 0.00000000E+00
PROSYN-Clo1313_0230      	 0.00000000E+00
PROSYN-Clo1313_0234      	 0.00000000E+00
PROSYN-Clo1313_0236      	 3.08523106E-02
PROSYN-Clo1313_0238      	 4.63777398E+00
PROSYN-Clo1313_0239      	 0.00000000E+00
PROSYN-Clo1313_0245      	 0.00000000E+00
PROSYN-Clo1313_0262      	 1.59858951E+00
PROSYN-Clo1313_0275      	 6.23672817E-03
PROSYN-Clo1313_0288      	 0.00000000E+00
PROSYN-Clo1313_0295      	 2.96342069E-01
PROSYN-Clo1313_0296      	 2.96342069E-01
PROSYN-Clo1313_0304      	 1.59127585E+00
PROSYN-Clo1313_0305      	 7.06849987E-01
PROSYN-Clo1313_0306      	 1.59858951E+00
PROSYN-Clo1313_0309      	 1.59858951E+00
PROSYN-Clo1313_0310      	 1.59858951E+00
PROSYN-Clo1313_0311      	 1.59858951E+00
PROSYN-Clo1313_0313      	 0.00000000E+00
PROSYN-Clo1313_0314      	 0.00000000E+00
PROSYN-Clo1313_0315      	 1.59858951E+00
PROSYN-Clo1313_0316      	 1.59858951E+00
PROSYN-Clo1313_0317      	 1.59858951E+00
PROSYN-Clo1313_0346      	 2.50869672E-03
PROSYN-Clo1313_0349      	 0.00000000E+00
PROSYN-Clo1313_0350      	 0.00000000E+00
PROSYN-Clo1313_0365      	 7.50203672E-03
PROSYN-Clo1313_0370      	 0.00000000E+00
PROSYN-Clo1313_0372      	 3.80608414E-02
PROSYN-Clo1313_0373      	 0.00000000E+00
PROSYN-Clo1313_0374      	 0.00000000E+00
PROSYN-Clo1313_0378      	 0.00000000E+00
PROSYN-Clo1313_0380      	 0.00000000E+00
PROSYN-Clo1313_0382      	 0.00000000E+00
PROSYN-Clo1313_0383      	 0.00000000E+00
PROSYN-Clo1313_0384      	 0.00000000E+00
PROSYN-Clo1313_0385      	 0.00000000E+00
PROSYN-Clo1313_0387      	 0.00000000E+00
PROSYN-Clo1313_0388      	 5.64530480E-02
PROSYN-Clo1313_0391      	 0.00000000E+00
PROSYN-Clo1313_0397      	 0.00000000E+00
PROSYN-Clo1313_0398      	 0.00000000E+00
PROSYN-Clo1313_0399      	 0.00000000E+00
PROSYN-Clo1313_0400      	 0.00000000E+00
PROSYN-Clo1313_0403      	 4.68119162E-01
PROSYN-Clo1313_0413      	 0.00000000E+00
PROSYN-Clo1313_0415      	 1.86006144E+00
PROSYN-Clo1313_0420      	 0.00000000E+00
PROSYN-Clo1313_0421      	 5.93413367E-03
PROSYN-Clo1313_0422      	 5.93413367E-03
PROSYN-Clo1313_0423      	 4.73025082E-02
PROSYN-Clo1313_0424      	 0.00000000E+00
PROSYN-Clo1313_0425      	 3.74151873E-02
PROSYN-Clo1313_0426      	 6.22136887E-02
PROSYN-Clo1313_0427      	 7.08461784E-04
PROSYN-Clo1313_0428      	 5.54893113E-02
PROSYN-Clo1313_0429      	 7.08461784E-04
PROSYN-Clo1313_0430      	 1.28705650E-01
PROSYN-Clo1313_0436      	 0.00000000E+00
PROSYN-Clo1313_0444      	 1.59858951E+00
PROSYN-Clo1313_0445      	 1.59858951E+00
PROSYN-Clo1313_0446      	 1.59858951E+00
PROSYN-Clo1313_0447      	 1.59858951E+00
PROSYN-Clo1313_0448      	 1.59858951E+00
PROSYN-Clo1313_0449      	 1.59858951E+00
PROSYN-Clo1313_0450      	 1.59858951E+00
PROSYN-Clo1313_0451      	 1.59858951E+00
PROSYN-Clo1313_0452      	 1.59858951E+00
PROSYN-Clo1313_0453      	 1.59858951E+00
PROSYN-Clo1313_0454      	 1.59858951E+00
PROSYN-Clo1313_0455      	 1.59858951E+00
PROSYN-Clo1313_0456      	 1.59858951E+00
PROSYN-Clo1313_0457      	 1.59858951E+00
PROSYN-Clo1313_0458      	 1.59858951E+00
PROSYN-Clo1313_0459      	 1.59858951E+00
PROSYN-Clo1313_0460      	 1.59858951E+00
PROSYN-Clo1313_0461      	 1.59858951E+00
PROSYN-Clo1313_0462      	 1.59858951E+00
PROSYN-Clo1313_0463      	 1.59858951E+00
PROSYN-Clo1313_0464      	 1.59858951E+00
PROSYN-Clo1313_0466      	 1.22915356E+00
PROSYN-Clo1313_0470      	 1.59858951E+00
PROSYN-Clo1313_0471      	 1.59858951E+00
PROSYN-Clo1313_0472      	 1.59858951E+00
PROSYN-Clo1313_0473      	 1.59858951E+00
