rxn	LB	flux	UB
RXN-3OAS120_FWD-fabF                         	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-3OAS120_FWD-fabHA_1281                   	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-3OAS120_FWD-fabHA_2100                   	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-3OAS120_FWD-fabHA_2102                   	    0.00E+00	 6.88084636E-02	    1.00E+03
RXN-3OAS120_FWD-pksJL                        	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-3OAS140_FWD-fabF                         	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-3OAS140_FWD-fabHA_1281                   	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-3OAS140_FWD-fabHA_2100                   	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-3OAS140_FWD-fabHA_2102                   	    0.00E+00	 6.88084636E-02	    1.00E+03
RXN-3OAS140_FWD-pksJL                        	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-3OAS160_FWD-fabF                         	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-3OAS160_FWD-fabHA_1281                   	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-3OAS160_FWD-fabHA_2100                   	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-3OAS160_FWD-fabHA_2102                   	    0.00E+00	 6.41287948E-02	    1.00E+03
RXN-3OAS160_FWD-pksJL                        	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-3OAS60_FWD-fabF                          	    0.00E+00	 7.32281508E-02	    1.00E+03
RXN-3OAS80_FWD-fabF                          	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-3OAS80_FWD-fabHA_1281                    	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-3OAS80_FWD-fabHA_2100                    	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-3OAS80_FWD-fabHA_2102                    	    0.00E+00	 7.32281508E-02	    1.00E+03
RXN-3OAS80_FWD-pksJL                         	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-3SALATA_FWD-Clo1313_1467                 	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-3SALATA_REV-Clo1313_1467                 	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-3SALATA_FWD-Clo1313_1657                 	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-3SALATA_REV-Clo1313_1657                 	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-4crsolt_FWD-SPONT                        	    0.00E+00	 3.09147140E-08	    1.00E+03
RXN-4crsolt_REV-SPONT                        	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-4HTHRS_FWD-ADU73935                      	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-4MOPDC_FWD-UNKNOWN                       	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-5FLURAPRT2_FWD-thrS                      	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-6TINS5MPOR_FWD-guaB                      	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-6TXAN5MPAML_FWD-guaA                     	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-AABHH_FWD-pepD                           	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-AACPS3MBUT_FWD-UNKNOWN                   	    0.00E+00	 1.34323827E-02	    1.00E+03
RXN-AACPS3MBUT_REV-UNKNOWN                   	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-AACPS3MCR_FWD-UNKNOWN                    	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-AACPS3MCR_REV-UNKNOWN                    	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-AATC_FWD-Clo1313_1467                    	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-AATC_REV-Clo1313_1467                    	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-AATC_FWD-Clo1313_1657                    	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-AATC_REV-Clo1313_1657                    	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ABGPT_FWD-glcK                           	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ABGPT_FWD-xylR                           	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ACabc_FWD-UNKNOWN                        	    0.00E+00	 0.00000000E+00	    0.00E+00
RXN-ACALD_FWD-gbsB_1798                      	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ACALDy_FWD-gbsB_1798                     	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ACAS_2ahbut_FWD-ilvBH_0099               	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ACAS_2ahbut_FWD-ilvBH_0305               	    0.00E+00	 1.67529797E-01	    1.00E+03
RXN-ACBIPGT_FWD-cobU                         	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ACBIPGT_REV-cobU                         	    0.00E+00	 0.00000000E+00	    1.00E+03
RXN-ACCOAC_FWD-yqjD                          	    0.00E+00	 5.76812511E-01	    1.00E+03
RXN-ACGK_FWD-argB                            	    0.00E+00	 1.04753900E-01	    1.00E+03
RXN-ACGNMCT_FWD-ADU73322                     	    0.00E+00	 0.00000000E+00	    1.00E+03
