protein	synthesis rate
PROSYN-Clo1313_0400      	 2.52881885E-07
PROSYN-Clo1313_0403      	 3.89945348E-06
PROSYN-Clo1313_0413      	 1.43930408E-06
PROSYN-Clo1313_0415      	 1.01797736E-05
PROSYN-Clo1313_0420      	 0.00000000E+00
PROSYN-Clo1313_0421      	 4.90773768E-08
PROSYN-Clo1313_0422      	 4.90773768E-08
PROSYN-Clo1313_0423      	 3.91208414E-07
PROSYN-Clo1313_0424      	 0.00000000E+00
PROSYN-Clo1313_0425      	 3.09436785E-07
PROSYN-Clo1313_0426      	 5.09890569E-07
PROSYN-Clo1313_0427      	 5.79992017E-09
PROSYN-Clo1313_0428      	 4.58916160E-07
PROSYN-Clo1313_0429      	 5.79992017E-09
PROSYN-Clo1313_0430      	 1.06444108E-06
PROSYN-Clo1313_0436      	 0.00000000E+00
PROSYN-Clo1313_0444      	 1.35391833E-05
PROSYN-Clo1313_0445      	 1.35391833E-05
PROSYN-Clo1313_0446      	 1.35391833E-05
PROSYN-Clo1313_0447      	 1.35391833E-05
PROSYN-Clo1313_0448      	 1.35391833E-05
PROSYN-Clo1313_0449      	 1.35391833E-05
PROSYN-Clo1313_0450      	 1.35391833E-05
PROSYN-Clo1313_0451      	 1.35391833E-05
PROSYN-Clo1313_0452      	 1.35391833E-05
PROSYN-Clo1313_0453      	 1.35391833E-05
PROSYN-Clo1313_0454      	 1.35391833E-05
PROSYN-Clo1313_0455      	 1.35391833E-05
PROSYN-Clo1313_0456      	 1.35391833E-05
PROSYN-Clo1313_0457      	 1.35391833E-05
PROSYN-Clo1313_0458      	 1.35391833E-05
PROSYN-Clo1313_0459      	 1.35391833E-05
PROSYN-Clo1313_0460      	 1.35391833E-05
PROSYN-Clo1313_0461      	 1.35391833E-05
PROSYN-Clo1313_0462      	 1.35391833E-05
PROSYN-Clo1313_0463      	 1.35391833E-05
PROSYN-Clo1313_0464      	 1.35391833E-05
PROSYN-Clo1313_0466      	 6.55130046E-06
PROSYN-Clo1313_0470      	 1.35391833E-05
PROSYN-Clo1313_0471      	 1.35391833E-05
PROSYN-Clo1313_0472      	 1.35391833E-05
PROSYN-Clo1313_0473      	 1.35391833E-05
PROSYN-Clo1313_0474      	 0.00000000E+00
PROSYN-Clo1313_0475      	 1.35391833E-05
PROSYN-Clo1313_0476      	 0.00000000E+00
PROSYN-Clo1313_0486      	 0.00000000E+00
PROSYN-Clo1313_0487      	 0.00000000E+00
PROSYN-Clo1313_0488      	 0.00000000E+00
PROSYN-Clo1313_0489      	 1.80648056E-06
PROSYN-Clo1313_0492      	 0.00000000E+00
PROSYN-Clo1313_0497      	 0.00000000E+00
PROSYN-Clo1313_0498      	 1.94339786E-06
PROSYN-Clo1313_0501      	 2.29172820E-09
PROSYN-Clo1313_0511      	 0.00000000E+00
PROSYN-Clo1313_0512      	 0.00000000E+00
PROSYN-Clo1313_0521      	 3.52484099E-08
PROSYN-Clo1313_0530      	 0.00000000E+00
PROSYN-Clo1313_0531      	 0.00000000E+00
PROSYN-Clo1313_0542      	 0.00000000E+00
PROSYN-Clo1313_0551      	 6.17358018E-08
PROSYN-Clo1313_0554      	 1.83619159E-07
PROSYN-Clo1313_0564      	 0.00000000E+00
PROSYN-Clo1313_0565      	 0.00000000E+00
PROSYN-Clo1313_0566      	 0.00000000E+00
PROSYN-Clo1313_0567      	 0.00000000E+00
PROSYN-Clo1313_0568      	 0.00000000E+00
PROSYN-Clo1313_0569      	 0.00000000E+00
PROSYN-Clo1313_0570      	 8.69146124E-09
PROSYN-Clo1313_0571      	 8.69146124E-09
PROSYN-Clo1313_0572      	 8.69146124E-09
PROSYN-Clo1313_0573      	 8.69146124E-09
PROSYN-Clo1313_0574      	 8.69146124E-09
PROSYN-Clo1313_0575      	 8.69146124E-09
PROSYN-Clo1313_0578      	 1.50574150E-05
PROSYN-Clo1313_0579      	 0.00000000E+00
PROSYN-Clo1313_0586      	 0.00000000E+00
PROSYN-Clo1313_0592      	 0.00000000E+00
PROSYN-Clo1313_0605      	 4.67145510E-07
PROSYN-Clo1313_0613      	 0.00000000E+00
PROSYN-Clo1313_0626      	 0.00000000E+00
PROSYN-Clo1313_0627      	 1.04567365E-06
PROSYN-Clo1313_0628      	 9.85214117E-07
PROSYN-Clo1313_0629      	 7.20906639E-07
PROSYN-Clo1313_0636      	 5.23066703E-06
PROSYN-Clo1313_0640      	 5.84408987E-07
PROSYN-Clo1313_0641      	 5.84408987E-07
PROSYN-Clo1313_0645      	 0.00000000E+00
PROSYN-Clo1313_0648      	 0.00000000E+00
PROSYN-Clo1313_0650      	 0.00000000E+00
PROSYN-Clo1313_0651      	 9.91697625E-08
PROSYN-Clo1313_0652      	 1.48146129E-07
PROSYN-Clo1313_0654      	 0.00000000E+00
PROSYN-Clo1313_0657      	 0.00000000E+00
PROSYN-Clo1313_0658      	 0.00000000E+00
PROSYN-Clo1313_0666      	 0.00000000E+00
PROSYN-Clo1313_0669      	 0.00000000E+00
PROSYN-Clo1313_0673      	 0.00000000E+00
PROSYN-Clo1313_0677      	 0.00000000E+00
PROSYN-Clo1313_0682      	 0.00000000E+00
PROSYN-Clo1313_0685      	 2.43483588E-08
PROSYN-Clo1313_0700      	 0.00000000E+00
PROSYN-Clo1313_0701      	 0.00000000E+00
PROSYN-Clo1313_0702      	 0.00000000E+00
PROSYN-Clo1313_0703      	 0.00000000E+00
PROSYN-Clo1313_0704      	 0.00000000E+00
PROSYN-Clo1313_0707      	 0.00000000E+00
PROSYN-Clo1313_0708      	 0.00000000E+00
PROSYN-Clo1313_0709      	 3.27385571E-06
PROSYN-Clo1313_0717      	 0.00000000E+00
PROSYN-Clo1313_0718      	 1.44862376E-06
PROSYN-Clo1313_0720      	 5.20700116E-06
PROSYN-Clo1313_0724      	 8.44857353E-09
PROSYN-Clo1313_0728      	 7.33635064E-08
PROSYN-Clo1313_0735      	 0.00000000E+00
PROSYN-Clo1313_0749      	 2.34113178E-06
PROSYN-Clo1313_0793      	 0.00000000E+00
PROSYN-Clo1313_0794      	 0.00000000E+00
PROSYN-Clo1313_0795      	 0.00000000E+00
PROSYN-Clo1313_0813      	 0.00000000E+00
PROSYN-Clo1313_0815      	 0.00000000E+00
PROSYN-Clo1313_0820      	 0.00000000E+00
PROSYN-Clo1313_0821      	 2.39346815E-09
PROSYN-Clo1313_0822      	 2.39346815E-09
PROSYN-Clo1313_0823      	 0.00000000E+00
PROSYN-Clo1313_0830      	 9.05040232E-09
PROSYN-Clo1313_0833      	 0.00000000E+00
PROSYN-Clo1313_0836      	 2.23596695E-06
PROSYN-Clo1313_0837      	 2.23596695E-06
PROSYN-Clo1313_0849      	 1.16897815E-09
PROSYN-Clo1313_0851      	 2.55086646E-08
PROSYN-Clo1313_0853      	 3.24666417E-09
PROSYN-Clo1313_0857      	 1.22589331E-05
PROSYN-Clo1313_0859      	 0.00000000E+00
PROSYN-Clo1313_0864      	 0.00000000E+00
PROSYN-Clo1313_0867      	 2.74423996E-06
PROSYN-Clo1313_0871      	 0.00000000E+00
PROSYN-Clo1313_0872      	 0.00000000E+00
PROSYN-Clo1313_0873      	 2.47256010E-06
PROSYN-Clo1313_0887      	 0.00000000E+00
PROSYN-Clo1313_0892      	 0.00000000E+00
PROSYN-Clo1313_0901      	 0.00000000E+00
PROSYN-Clo1313_0905      	 1.35391833E-05
PROSYN-Clo1313_0908      	 0.00000000E+00
PROSYN-Clo1313_0909      	 0.00000000E+00
PROSYN-Clo1313_0910      	 0.00000000E+00
PROSYN-Clo1313_0912      	 0.00000000E+00
PROSYN-Clo1313_0922      	 8.43348652E-07
PROSYN-Clo1313_0923      	 0.00000000E+00
PROSYN-Clo1313_0930      	 0.00000000E+00
PROSYN-Clo1313_0941      	 6.72451368E-07
PROSYN-Clo1313_0942      	 0.00000000E+00
PROSYN-Clo1313_0943      	 0.00000000E+00
PROSYN-Clo1313_0944      	 3.43296674E-06
PROSYN-Clo1313_0948      	 0.00000000E+00
PROSYN-Clo1313_0949      	 6.87381319E-06
PROSYN-Clo1313_0959      	 1.35391833E-05
PROSYN-Clo1313_0960      	 0.00000000E+00
PROSYN-Clo1313_0962      	 0.00000000E+00
PROSYN-Clo1313_0966      	 6.50539236E-08
PROSYN-Clo1313_0974      	 0.00000000E+00
PROSYN-Clo1313_0979      	 1.35391833E-05
PROSYN-Clo1313_0982      	 0.00000000E+00
PROSYN-Clo1313_0993      	 3.17119616E-06
PROSYN-Clo1313_0997      	 0.00000000E+00
PROSYN-Clo1313_1002      	 0.00000000E+00
PROSYN-Clo1313_1008      	 1.95459733E-06
PROSYN-Clo1313_1009      	 9.19435977E-07
PROSYN-Clo1313_1010      	 1.70457615E-06
PROSYN-Clo1313_1011      	 1.06164199E-07
PROSYN-Clo1313_1012      	 6.50392736E-06
PROSYN-Clo1313_1013      	 1.30041909E-06
PROSYN-Clo1313_1016      	 4.64967443E-08
PROSYN-Clo1313_1020      	 3.37069055E-06
PROSYN-Clo1313_1024      	 0.00000000E+00
PROSYN-Clo1313_1029      	 0.00000000E+00
PROSYN-Clo1313_1030      	 1.06207723E-06
PROSYN-Clo1313_1031      	 1.37707924E-07
PROSYN-Clo1313_1033      	 1.35391833E-05
PROSYN-Clo1313_1034      	 1.35391833E-05
PROSYN-Clo1313_1046      	 0.00000000E+00
PROSYN-Clo1313_1056      	 0.00000000E+00
PROSYN-Clo1313_1057      	 0.00000000E+00
PROSYN-Clo1313_1073      	 0.00000000E+00
PROSYN-Clo1313_1076      	 0.00000000E+00
PROSYN-Clo1313_1082      	 0.00000000E+00
PROSYN-Clo1313_1090      	 0.00000000E+00
PROSYN-Clo1313_1094      	 0.00000000E+00
PROSYN-Clo1313_1098      	 1.09781694E-06
PROSYN-Clo1313_1099      	 3.54969738E-07
PROSYN-Clo1313_1119      	 0.00000000E+00
PROSYN-Clo1313_1120      	 5.40187230E-06
PROSYN-Clo1313_1127      	 0.00000000E+00
PROSYN-Clo1313_1134      	 0.00000000E+00
PROSYN-Clo1313_1145      	 0.00000000E+00
PROSYN-Clo1313_1150      	 4.72572234E-06
PROSYN-Clo1313_1151      	 7.74752481E-07
PROSYN-Clo1313_1154      	 0.00000000E+00
PROSYN-Clo1313_1155      	 2.02616429E-05
PROSYN-Clo1313_1159      	 0.00000000E+00
PROSYN-Clo1313_1160      	 0.00000000E+00
PROSYN-Clo1313_1167      	 0.00000000E+00
PROSYN-Clo1313_1172      	 5.33583541E-07
PROSYN-Clo1313_1174      	 1.35391833E-05
PROSYN-Clo1313_1176      	 0.00000000E+00
PROSYN-Clo1313_1181      	 0.00000000E+00
PROSYN-Clo1313_1182      	 0.00000000E+00
PROSYN-Clo1313_1183      	 0.00000000E+00
PROSYN-Clo1313_1185      	 1.93789242E-07
PROSYN-Clo1313_1186      	 6.64615772E-07
PROSYN-Clo1313_1188      	 1.35391833E-05
PROSYN-Clo1313_1192      	 1.81747295E-06
PROSYN-Clo1313_1194      	 5.17183619E-05
PROSYN-Clo1313_1195      	 7.85447912E-07
PROSYN-Clo1313_1196      	 7.85447912E-07
PROSYN-Clo1313_1198      	 0.00000000E+00
PROSYN-Clo1313_1206      	 0.00000000E+00
PROSYN-Clo1313_1209      	 1.35391833E-05
PROSYN-Clo1313_1211      	 1.89359545E-07
PROSYN-Clo1313_1214      	 0.00000000E+00
PROSYN-Clo1313_1215      	 1.93845193E-07
PROSYN-Clo1313_1216      	 0.00000000E+00
PROSYN-Clo1313_1218      	 0.00000000E+00
PROSYN-Clo1313_1229      	 1.17633938E-07
PROSYN-Clo1313_1233      	 0.00000000E+00
PROSYN-Clo1313_1240      	 7.13868930E-07
PROSYN-Clo1313_1241      	 6.27939322E-07
PROSYN-Clo1313_1242      	 2.56107697E-07
PROSYN-Clo1313_1244      	 2.02357785E-07
PROSYN-Clo1313_1245      	 2.56107697E-07
PROSYN-Clo1313_1251      	 0.00000000E+00
PROSYN-Clo1313_1253      	 2.61903819E-06
PROSYN-Clo1313_1254      	 2.19442231E-06
PROSYN-Clo1313_1255      	 1.86157645E-05
PROSYN-Clo1313_1262      	 0.00000000E+00
PROSYN-Clo1313_1264      	 6.47165332E-07
PROSYN-Clo1313_1265      	 6.48573828E-07
PROSYN-Clo1313_1266      	 7.34185308E-07
PROSYN-Clo1313_1267      	 7.27498808E-07
PROSYN-Clo1313_1268      	 7.27498808E-07
PROSYN-Clo1313_1269      	 2.91246803E-07
PROSYN-Clo1313_1270      	 2.91246803E-07
PROSYN-Clo1313_1271      	 0.00000000E+00
PROSYN-Clo1313_1276      	 2.39553154E-08
PROSYN-Clo1313_1281      	 0.00000000E+00
PROSYN-Clo1313_1282      	 6.80012745E-06
PROSYN-Clo1313_1283      	 0.00000000E+00
PROSYN-Clo1313_1285      	 7.67295953E-07
PROSYN-Clo1313_1287      	 0.00000000E+00
PROSYN-Clo1313_1289      	 4.75342710E-08
PROSYN-Clo1313_1295      	 0.00000000E+00
PROSYN-Clo1313_1300      	 0.00000000E+00
PROSYN-Clo1313_1301      	 0.00000000E+00
PROSYN-Clo1313_1305      	 2.29481601E-07
PROSYN-Clo1313_1306      	 5.11249977E-07
PROSYN-Clo1313_1312      	 0.00000000E+00
PROSYN-Clo1313_1316      	 0.00000000E+00
PROSYN-Clo1313_1317      	 0.00000000E+00
PROSYN-Clo1313_1318      	 0.00000000E+00
PROSYN-Clo1313_1321      	 0.00000000E+00
PROSYN-Clo1313_1335      	 0.00000000E+00
PROSYN-Clo1313_1339      	 0.00000000E+00
PROSYN-Clo1313_1340      	 3.75246574E-05
PROSYN-Clo1313_1342      	 0.00000000E+00
PROSYN-Clo1313_1345      	 6.17974550E-07
PROSYN-Clo1313_1346      	 2.75610012E-07
PROSYN-Clo1313_1347      	 1.62963302E-07
PROSYN-Clo1313_1348      	 4.00660350E-08
PROSYN-Clo1313_1353      	 1.46719458E-06
PROSYN-Clo1313_1354      	 1.46719458E-06
PROSYN-Clo1313_1355      	 1.46719458E-06
PROSYN-Clo1313_1356      	 1.46719458E-06
PROSYN-Clo1313_1357      	 0.00000000E+00
PROSYN-Clo1313_1364      	 1.48172048E-05
PROSYN-Clo1313_1365      	 5.22650249E-07
PROSYN-Clo1313_1366      	 3.30420489E-07
PROSYN-Clo1313_1371      	 4.00914692E-07
PROSYN-Clo1313_1390      	 0.00000000E+00
PROSYN-Clo1313_1393      	 4.07362737E-08
PROSYN-Clo1313_1396      	 1.34834216E-08
PROSYN-Clo1313_1398      	 0.00000000E+00
PROSYN-Clo1313_1425      	 2.25150056E-10
PROSYN-Clo1313_1429      	 5.30510347E-07
PROSYN-Clo1313_1434      	 4.56106821E-06
PROSYN-Clo1313_1435      	 1.30134882E-06
PROSYN-Clo1313_1447      	 0.00000000E+00
PROSYN-Clo1313_1452      	 0.00000000E+00
PROSYN-Clo1313_1453      	 1.35391833E-05
PROSYN-Clo1313_1457      	 1.35391833E-05
PROSYN-Clo1313_1467      	 0.00000000E+00
PROSYN-Clo1313_1472      	 0.00000000E+00
PROSYN-Clo1313_1473      	 0.00000000E+00
PROSYN-Clo1313_1474      	 0.00000000E+00
PROSYN-Clo1313_1475      	 0.00000000E+00
PROSYN-Clo1313_1477      	 5.94187807E-08
PROSYN-Clo1313_1481      	 1.65420528E-06
PROSYN-Clo1313_1486      	 0.00000000E+00
PROSYN-Clo1313_1487      	 1.33713206E-09
PROSYN-Clo1313_1491      	 1.88778070E-05
PROSYN-Clo1313_1492      	 5.08992622E-07
PROSYN-Clo1313_1499      	 2.83398017E-07
PROSYN-Clo1313_1500      	 3.06726007E-06
PROSYN-Clo1313_1502      	 0.00000000E+00
PROSYN-Clo1313_1503      	 0.00000000E+00
PROSYN-Clo1313_1508      	 8.33382167E-08
PROSYN-Clo1313_1509      	 0.00000000E+00
PROSYN-Clo1313_1510      	 0.00000000E+00
PROSYN-Clo1313_1512      	 6.11286271E-07
PROSYN-Clo1313_1513      	 6.45119242E-07
PROSYN-Clo1313_1517      	 0.00000000E+00
PROSYN-Clo1313_1523      	 0.00000000E+00
PROSYN-Clo1313_1524      	 0.00000000E+00
PROSYN-Clo1313_1525      	 0.00000000E+00
PROSYN-Clo1313_1526      	 2.25261267E-05
PROSYN-Clo1313_1529      	 0.00000000E+00
PROSYN-Clo1313_1530      	 0.00000000E+00
PROSYN-Clo1313_1537      	 7.14869747E-07
PROSYN-Clo1313_1539      	 0.00000000E+00
PROSYN-Clo1313_1540      	 4.26736220E-07
PROSYN-Clo1313_1542      	 8.24063716E-06
PROSYN-Clo1313_1545      	 0.00000000E+00
PROSYN-Clo1313_1546      	 0.00000000E+00
PROSYN-Clo1313_1549      	 0.00000000E+00
PROSYN-Clo1313_1551      	 1.25799944E-06
PROSYN-Clo1313_1564      	 4.90230790E-09
PROSYN-Clo1313_1571      	 0.00000000E+00
PROSYN-Clo1313_1578      	 2.02310683E-06
PROSYN-Clo1313_1580      	 6.80227196E-07
PROSYN-Clo1313_1581      	 0.00000000E+00
PROSYN-Clo1313_1582      	 2.92364748E-07
PROSYN-Clo1313_1587      	 1.40763167E-08
PROSYN-Clo1313_1588      	 0.00000000E+00
PROSYN-Clo1313_1603      	 1.90070594E-07
PROSYN-Clo1313_1604      	 5.60139106E-08
PROSYN-Clo1313_1606      	 0.00000000E+00
PROSYN-Clo1313_1607      	 1.15918054E-06
PROSYN-Clo1313_1614      	 0.00000000E+00
PROSYN-Clo1313_1619      	 2.40570083E-08
PROSYN-Clo1313_1627      	 8.18547259E-08
PROSYN-Clo1313_1628      	 9.66489439E-09
PROSYN-Clo1313_1629      	 0.00000000E+00
PROSYN-Clo1313_1631      	 8.40241448E-08
PROSYN-Clo1313_1654      	 0.00000000E+00
PROSYN-Clo1313_1657      	 4.86160428E-06
PROSYN-Clo1313_1659      	 1.84651489E-07
PROSYN-Clo1313_1660      	 1.10362884E-08
PROSYN-Clo1313_1661      	 9.58172919E-08
PROSYN-Clo1313_1662      	 0.00000000E+00
PROSYN-Clo1313_1663      	 0.00000000E+00
PROSYN-Clo1313_1673      	 0.00000000E+00
PROSYN-Clo1313_1674      	 0.00000000E+00
PROSYN-Clo1313_1681      	 3.32729099E-06
PROSYN-Clo1313_1683      	 0.00000000E+00
PROSYN-Clo1313_1686      	 0.00000000E+00
PROSYN-Clo1313_1688      	 1.46304440E-08
PROSYN-Clo1313_1689      	 1.46304440E-08
PROSYN-Clo1313_1690      	 1.46304440E-08
PROSYN-Clo1313_1694      	 3.33154471E-07
PROSYN-Clo1313_1701      	 3.79886000E-07
PROSYN-Clo1313_1704      	 0.00000000E+00
PROSYN-Clo1313_1712      	 0.00000000E+00
PROSYN-Clo1313_1717      	 1.98283268E-05
PROSYN-Clo1313_1780      	 0.00000000E+00
PROSYN-Clo1313_1781      	 0.00000000E+00
PROSYN-Clo1313_1786      	 7.77400474E-09
