protein	synthesis rate (nmol protein/mmol c6 unit)
PROSYN-Clo1313_0011      	 4.74756016E-01
PROSYN-Clo1313_0020      	 9.08755233E+00
PROSYN-Clo1313_0021      	 1.13200588E+00
PROSYN-Clo1313_0022      	 5.12901819E+00
PROSYN-Clo1313_0023      	 1.05948461E+01
PROSYN-Clo1313_0030      	 1.64706717E-01
PROSYN-Clo1313_0034      	 2.91855352E-02
PROSYN-Clo1313_0046      	 0.00000000E+00
PROSYN-Clo1313_0061      	 2.06465344E-01
PROSYN-Clo1313_0062      	 9.22816291E-03
PROSYN-Clo1313_0063      	 1.82508784E-01
PROSYN-Clo1313_0064      	 0.00000000E+00
PROSYN-Clo1313_0065      	 4.95542019E-03
PROSYN-Clo1313_0066      	 7.42314445E-02
PROSYN-Clo1313_0068      	 5.03002958E-02
PROSYN-Clo1313_0073      	 6.31872684E-03
PROSYN-Clo1313_0074      	 7.79403827E-03
PROSYN-Clo1313_0075      	 1.91139220E-02
PROSYN-Clo1313_0076      	 1.66882827E-02
PROSYN-Clo1313_0077      	 1.87085039E-01
PROSYN-Clo1313_0078      	 6.17501461E-03
PROSYN-Clo1313_0079      	 0.00000000E+00
PROSYN-Clo1313_0080      	 0.00000000E+00
PROSYN-Clo1313_0083      	 0.00000000E+00
PROSYN-Clo1313_0098      	 1.47232553E-02
PROSYN-Clo1313_0099      	 4.45578940E-01
PROSYN-Clo1313_0100      	 3.70326927E-01
PROSYN-Clo1313_0101      	 4.83401867E+00
PROSYN-Clo1313_0102      	 3.97080625E-01
PROSYN-Clo1313_0108      	 0.00000000E+00
PROSYN-Clo1313_0109      	 0.00000000E+00
PROSYN-Clo1313_0110      	 0.00000000E+00
PROSYN-Clo1313_0111      	 0.00000000E+00
PROSYN-Clo1313_0112      	 0.00000000E+00
PROSYN-Clo1313_0113      	 0.00000000E+00
PROSYN-Clo1313_0114      	 8.31495045E-04
PROSYN-Clo1313_0115      	 0.00000000E+00
PROSYN-Clo1313_0116      	 0.00000000E+00
PROSYN-Clo1313_0117      	 0.00000000E+00
PROSYN-Clo1313_0118      	 0.00000000E+00
PROSYN-Clo1313_0119      	 0.00000000E+00
PROSYN-Clo1313_0120      	 0.00000000E+00
PROSYN-Clo1313_0122      	 1.20483617E-04
PROSYN-Clo1313_0124      	 0.00000000E+00
PROSYN-Clo1313_0137      	 0.00000000E+00
PROSYN-Clo1313_0138      	 7.15123322E-03
PROSYN-Clo1313_0139      	 1.27667024E-03
PROSYN-Clo1313_0142      	 1.27148822E-02
PROSYN-Clo1313_0144      	 3.60708755E-03
PROSYN-Clo1313_0145      	 4.73793754E-03
PROSYN-Clo1313_0146      	 0.00000000E+00
PROSYN-Clo1313_0147      	 4.18676578E-05
PROSYN-Clo1313_0148      	 1.43845084E-03
PROSYN-Clo1313_0152      	 0.00000000E+00
PROSYN-Clo1313_0165      	 3.35133075E-02
PROSYN-Clo1313_0168      	 7.21569998E-02
PROSYN-Clo1313_0169      	 1.65916558E-02
PROSYN-Clo1313_0172      	 1.91242155E-02
PROSYN-Clo1313_0175      	 3.98379798E-02
PROSYN-Clo1313_0177      	 9.56537278E-04
PROSYN-Clo1313_0184      	 4.83310178E-02
