RXN	LB	flux	UB
RXN-3OAS80_FWD-pksJL	        0.00	0.00000000	     1000.00
RXN-3SALATA_FWD-Clo1313_1467	        0.00	0.00000000	     1000.00
RXN-3SALATA_REV-Clo1313_1467	        0.00	0.00000000	     1000.00
RXN-3SALATA_FWD-Clo1313_1657	        0.00	0.00000000	     1000.00
RXN-3SALATA_REV-Clo1313_1657	        0.00	0.00000000	     1000.00
RXN-4crsolt_FWD-SPONT	        0.00	0.00000008	     1000.00
RXN-4crsolt_REV-SPONT	        0.00	0.00000000	     1000.00
RXN-4HTHRS_FWD-ADU73935	        0.00	0.00000000	     1000.00
RXN-4MOPDC_FWD-UNKNOWN	        0.00	0.00000000	     1000.00
RXN-5FLURAPRT2_FWD-thrS	        0.00	0.00000000	     1000.00
RXN-6TINS5MPOR_FWD-guaB	        0.00	0.00000000	     1000.00
RXN-6TXAN5MPAML_FWD-guaA	        0.00	0.00000000	     1000.00
RXN-AABHH_FWD-pepD	        0.00	0.00000000	     1000.00
RXN-AACPS3MBUT_FWD-UNKNOWN	        0.00	0.01328685	     1000.00
RXN-AACPS3MBUT_REV-UNKNOWN	        0.00	0.00000000	     1000.00
RXN-AACPS3MCR_FWD-UNKNOWN	        0.00	0.00000000	     1000.00
RXN-AACPS3MCR_REV-UNKNOWN	        0.00	0.00000000	     1000.00
RXN-AATC_FWD-Clo1313_1467	        0.00	0.00000000	     1000.00
RXN-AATC_REV-Clo1313_1467	        0.00	0.00000000	     1000.00
RXN-AATC_FWD-Clo1313_1657	        0.00	0.00000000	     1000.00
RXN-AATC_REV-Clo1313_1657	        0.00	0.00000000	     1000.00
RXN-ABGPT_FWD-glcK	        0.00	4.20000000	     1000.00
RXN-ABGPT_FWD-xylR	        0.00	0.00000000	     1000.00
RXN-ACabc_FWD-UNKNOWN	        0.00	0.00000000	        0.00
RXN-ACALD_FWD-gbsB_1798	        0.00	2.07747944	     1000.00
RXN-ACALDy_FWD-gbsB_1798	        0.00	0.00000000	        0.00
RXN-ACAS_2ahbut_FWD-ilvBH_0099	        0.00	0.14481541	     1000.00
RXN-ACAS_2ahbut_FWD-ilvBH_0305	        0.00	0.00000000	     1000.00
RXN-ACBIPGT_FWD-cobU	        0.00	0.00000000	     1000.00
RXN-ACBIPGT_REV-cobU	        0.00	0.00000000	     1000.00
RXN-ACCOAC_FWD-yqjD	        0.00	0.57056285	     1000.00
RXN-ACGK_FWD-argB	        0.00	0.08065407	     1000.00
RXN-ACGNMCT_FWD-ADU73322	        0.00	0.00000000	     1000.00
RXN-ACGS_FWD-argJ	        0.00	0.00000000	     1000.00
RXN-ACKr_FWD-ackA	        0.00	3.42968806	     1000.00
RXN-ACKr_REV-ackA	        0.00	0.00000000	     1000.00
RXN-ACLDC_FWD-UNKNOWN	        0.00	0.00000000	     1000.00
RXN-ACLS_FWD-ivlBH_0099	        0.00	0.00000000	     1000.00
RXN-ACLS_FWD-ivlBH_0305	        0.00	0.00000000	     1000.00
RXN-ACNAM9PL_FWD-spsE_0230	        0.00	0.00000000	     1000.00
RXN-ACNAM9PL_FWD-spsE_2902	        0.00	0.00000000	     1000.00
RXN-ACNMCT_FWD-ADU73322	        0.00	0.00000000	     1000.00
RXN-ACNPLYS_FWD-spsE_0230	        0.00	0.00000000	     1000.00
RXN-ACNPLYS_FWD-spsE_2902	        0.00	0.00000000	     1000.00
RXN-ACOATA_FWD-fabHA_1281	        0.00	0.07243474	     1000.00
RXN-ACOATA_FWD-fabHA_2100	        0.00	0.00000000	     1000.00
RXN-ACOATA_FWD-fabHA_2102	        0.00	0.00000000	     1000.00
RXN-ACONT_FWD-leuC	        0.00	1.62083179	     1000.00
RXN-ACONT_REV-leuC	        0.00	0.00000000	     1000.00
RXN-ACOTA_FWD-argD	        0.00	0.00000000	     1000.00
RXN-ACOTA_REV-argD	        0.00	0.08065407	     1000.00
RXN-ACPS1_FWD-Spf	        0.00	0.00000000	     1000.00
RXN-ACS2_FWD-ytcI	        0.00	0.00000000	        0.00
RXN-ACt_FWD-SPONT	        0.00	2.88786120	     1000.00
RXN-ACt2_FWD-UNKNOWN	        0.00	0.00000000	     1000.00
RXN-ADA_FWD-ylmD	        0.00	0.00000000	     1000.00
RXN-ADA_REV-ylmD	        0.00	0.07372674	     1000.00
RXN-ADAPAT_FWD-yugH	        0.00	0.00000000	     1000.00
RXN-ADCL_FWD-UNKNOWN	        0.00	0.00000000	     1000.00
RXN-ADCPS1_FWD-cobD	        0.00	0.00000000	     1000.00
RXN-ADCPS2_FWD-cobD	        0.00	0.00000000	     1000.00
RXN-ADEabc_FWD-nupOPQ	        0.00	0.00000000	     1000.00
RXN-ADEabc_REV-nupOPQ	        0.00	0.00000000	     1000.00
RXN-ADK1_FWD-adk	        0.00	0.00000000	     1000.00
RXN-ADK1_REV-adk	        0.00	5.32323325	     1000.00
RXN-ADK2_FWD-adk	        0.00	0.00000000	     1000.00
RXN-ADK2_REV-adk	        0.00	0.00000000	     1000.00
RXN-ADMDC_FWD-speD	        0.00	0.00000000	     1000.00
RXN-ADOCBIK_FWD-cobU	        0.00	0.00000000	     1000.00
