protein	synthesis rate (nmol protein/mmol c6 unit)
PROSYN-Clo1313_0011      	 4.70008456E-01
PROSYN-Clo1313_0020      	 8.99667680E+00
PROSYN-Clo1313_0021      	 1.12068582E+00
PROSYN-Clo1313_0022      	 5.07772801E+00
PROSYN-Clo1313_0023      	 1.04888977E+01
PROSYN-Clo1313_0030      	 1.63059650E-01
PROSYN-Clo1313_0034      	 2.88936798E-02
PROSYN-Clo1313_0046      	 0.00000000E+00
PROSYN-Clo1313_0061      	 2.04400691E-01
PROSYN-Clo1313_0062      	 9.13588128E-03
PROSYN-Clo1313_0063      	 1.80683696E-01
PROSYN-Clo1313_0064      	 0.00000000E+00
PROSYN-Clo1313_0065      	 4.90586599E-03
PROSYN-Clo1313_0066      	 7.34891300E-02
PROSYN-Clo1313_0068      	 4.97972929E-02
PROSYN-Clo1313_0073      	 6.25553957E-03
PROSYN-Clo1313_0074      	 7.71609789E-03
PROSYN-Clo1313_0075      	 1.89227828E-02
PROSYN-Clo1313_0076      	 1.65213999E-02
PROSYN-Clo1313_0077      	 1.85214189E-01
PROSYN-Clo1313_0078      	 6.11326446E-03
PROSYN-Clo1313_0079      	 0.00000000E+00
PROSYN-Clo1313_0080      	 0.00000000E+00
PROSYN-Clo1313_0083      	 0.00000000E+00
PROSYN-Clo1313_0098      	 1.45760228E-02
PROSYN-Clo1313_0099      	 4.41123150E-01
PROSYN-Clo1313_0100      	 3.66623658E-01
PROSYN-Clo1313_0101      	 4.78567848E+00
PROSYN-Clo1313_0102      	 3.93109819E-01
PROSYN-Clo1313_0108      	 0.00000000E+00
PROSYN-Clo1313_0109      	 0.00000000E+00
PROSYN-Clo1313_0110      	 0.00000000E+00
PROSYN-Clo1313_0111      	 0.00000000E+00
PROSYN-Clo1313_0112      	 0.00000000E+00
PROSYN-Clo1313_0113      	 0.00000000E+00
PROSYN-Clo1313_0114      	 8.23180095E-04
PROSYN-Clo1313_0115      	 0.00000000E+00
PROSYN-Clo1313_0116      	 0.00000000E+00
PROSYN-Clo1313_0117      	 0.00000000E+00
PROSYN-Clo1313_0118      	 0.00000000E+00
PROSYN-Clo1313_0119      	 0.00000000E+00
PROSYN-Clo1313_0120      	 0.00000000E+00
PROSYN-Clo1313_0122      	 1.19278781E-04
PROSYN-Clo1313_0124      	 0.00000000E+00
PROSYN-Clo1313_0137      	 0.00000000E+00
PROSYN-Clo1313_0138      	 7.07972088E-03
PROSYN-Clo1313_0139      	 1.26390354E-03
PROSYN-Clo1313_0142      	 1.25877334E-02
PROSYN-Clo1313_0144      	 3.57101668E-03
PROSYN-Clo1313_0145      	 4.69055817E-03
PROSYN-Clo1313_0146      	 0.00000000E+00
PROSYN-Clo1313_0147      	 4.14489812E-05
