protein	synthesis rate (nmol protein/mmol c6 unit)
PROSYN-Clo1313_0400      	 3.72140207E-02
PROSYN-Clo1313_0403      	 5.89962793E-01
PROSYN-Clo1313_0413      	 2.11807548E-01
PROSYN-Clo1313_0415      	 1.61254363E+00
PROSYN-Clo1313_0420      	 0.00000000E+00
PROSYN-Clo1313_0421      	 7.45936553E-03
PROSYN-Clo1313_0422      	 7.45936553E-03
PROSYN-Clo1313_0423      	 5.94605243E-02
PROSYN-Clo1313_0424      	 0.00000000E+00
PROSYN-Clo1313_0425      	 4.70318961E-02
PROSYN-Clo1313_0426      	 7.67632737E-02
PROSYN-Clo1313_0427      	 8.81541098E-04
PROSYN-Clo1313_0428      	 6.97515558E-02
PROSYN-Clo1313_0429      	 8.81541098E-04
PROSYN-Clo1313_0430      	 1.61786461E-01
PROSYN-Clo1313_0436      	 0.00000000E+00
PROSYN-Clo1313_0444      	 2.01254754E+00
PROSYN-Clo1313_0445      	 2.01254754E+00
PROSYN-Clo1313_0446      	 2.01254754E+00
PROSYN-Clo1313_0447      	 2.01254754E+00
PROSYN-Clo1313_0448      	 2.01254754E+00
PROSYN-Clo1313_0449      	 2.01254754E+00
PROSYN-Clo1313_0450      	 2.01254754E+00
PROSYN-Clo1313_0451      	 2.01254754E+00
PROSYN-Clo1313_0452      	 2.01254754E+00
PROSYN-Clo1313_0453      	 2.01254754E+00
PROSYN-Clo1313_0454      	 2.01254754E+00
PROSYN-Clo1313_0455      	 2.01254754E+00
PROSYN-Clo1313_0456      	 2.01254754E+00
PROSYN-Clo1313_0457      	 2.01254754E+00
PROSYN-Clo1313_0458      	 2.01254754E+00
PROSYN-Clo1313_0459      	 2.01254754E+00
PROSYN-Clo1313_0460      	 2.01254754E+00
PROSYN-Clo1313_0461      	 2.01254754E+00
PROSYN-Clo1313_0462      	 2.01254754E+00
PROSYN-Clo1313_0463      	 2.01254754E+00
PROSYN-Clo1313_0464      	 2.01254754E+00
PROSYN-Clo1313_0466      	 1.27625572E+00
PROSYN-Clo1313_0470      	 2.01254754E+00
PROSYN-Clo1313_0471      	 2.01254754E+00
PROSYN-Clo1313_0472      	 2.01254754E+00
PROSYN-Clo1313_0473      	 2.01254754E+00
PROSYN-Clo1313_0474      	 0.00000000E+00
PROSYN-Clo1313_0475      	 2.01254754E+00
PROSYN-Clo1313_0476      	 0.00000000E+00
PROSYN-Clo1313_0486      	 0.00000000E+00
PROSYN-Clo1313_0487      	 0.00000000E+00
PROSYN-Clo1313_0488      	 0.00000000E+00
PROSYN-Clo1313_0489      	 2.68526389E-01
PROSYN-Clo1313_0492      	 0.00000000E+00
PROSYN-Clo1313_0497      	 0.00000000E+00
PROSYN-Clo1313_0498      	 2.94057994E-01
PROSYN-Clo1313_0501      	 3.37250020E-04
PROSYN-Clo1313_0511      	 0.00000000E+00
PROSYN-Clo1313_0512      	 0.00000000E+00
PROSYN-Clo1313_0521      	 5.18714520E-03
PROSYN-Clo1313_0530      	 0.00000000E+00
PROSYN-Clo1313_0531      	 0.00000000E+00
PROSYN-Clo1313_0542      	 0.00000000E+00
PROSYN-Clo1313_0551      	 9.29483921E-03
PROSYN-Clo1313_0554      	 2.51533582E-02
PROSYN-Clo1313_0564      	 0.00000000E+00
PROSYN-Clo1313_0565      	 0.00000000E+00
PROSYN-Clo1313_0566      	 0.00000000E+00
PROSYN-Clo1313_0567      	 0.00000000E+00
PROSYN-Clo1313_0568      	 0.00000000E+00
PROSYN-Clo1313_0569      	 0.00000000E+00
PROSYN-Clo1313_0570      	 1.05797307E-03
PROSYN-Clo1313_0571      	 1.05797307E-03
