protein	synthesis rate (nmol protein/mmol c6 unit)
PROSYN-Clo1313_0011      	 4.52687142E-01
PROSYN-Clo1313_0020      	 8.66512050E+00
PROSYN-Clo1313_0021      	 1.07938497E+00
PROSYN-Clo1313_0022      	 4.89059750E+00
PROSYN-Clo1313_0023      	 1.01023483E+01
PROSYN-Clo1313_0030      	 1.57050380E-01
PROSYN-Clo1313_0034      	 2.78288553E-02
PROSYN-Clo1313_0046      	 0.00000000E+00
PROSYN-Clo1313_0061      	 1.96867872E-01
PROSYN-Clo1313_0062      	 8.79919484E-03
PROSYN-Clo1313_0063      	 1.74024924E-01
PROSYN-Clo1313_0064      	 0.00000000E+00
PROSYN-Clo1313_0065      	 4.72506915E-03
PROSYN-Clo1313_0066      	 7.07808206E-02
PROSYN-Clo1313_0068      	 4.79621034E-02
PROSYN-Clo1313_0073      	 6.02500294E-03
PROSYN-Clo1313_0074      	 7.43173501E-03
PROSYN-Clo1313_0075      	 1.82254178E-02
PROSYN-Clo1313_0076      	 1.59125335E-02
PROSYN-Clo1313_0077      	 1.78388454E-01
PROSYN-Clo1313_0078      	 5.88797112E-03
PROSYN-Clo1313_0079      	 0.00000000E+00
PROSYN-Clo1313_0080      	 0.00000000E+00
PROSYN-Clo1313_0083      	 0.00000000E+00
PROSYN-Clo1313_0098      	 1.40388498E-02
PROSYN-Clo1313_0099      	 4.24866352E-01
PROSYN-Clo1313_0100      	 3.53112404E-01
PROSYN-Clo1313_0101      	 4.60931093E+00
PROSYN-Clo1313_0102      	 3.78622465E-01
PROSYN-Clo1313_0108      	 0.00000000E+00
PROSYN-Clo1313_0109      	 0.00000000E+00
PROSYN-Clo1313_0110      	 0.00000000E+00
PROSYN-Clo1313_0111      	 0.00000000E+00
PROSYN-Clo1313_0112      	 0.00000000E+00
PROSYN-Clo1313_0113      	 0.00000000E+00
PROSYN-Clo1313_0114      	 7.92843276E-04
PROSYN-Clo1313_0115      	 0.00000000E+00
PROSYN-Clo1313_0116      	 0.00000000E+00
PROSYN-Clo1313_0117      	 0.00000000E+00
PROSYN-Clo1313_0118      	 0.00000000E+00
PROSYN-Clo1313_0119      	 0.00000000E+00
PROSYN-Clo1313_0120      	 0.00000000E+00
PROSYN-Clo1313_0122      	 1.14882977E-04
PROSYN-Clo1313_0124      	 0.00000000E+00
PROSYN-Clo1313_0137      	 0.00000000E+00
PROSYN-Clo1313_0138      	 6.81881054E-03
PROSYN-Clo1313_0139      	 1.21732465E-03
PROSYN-Clo1313_0142      	 1.21238352E-02
PROSYN-Clo1313_0144      	 3.43941330E-03
PROSYN-Clo1313_0145      	 4.51769610E-03
PROSYN-Clo1313_0146      	 0.00000000E+00
PROSYN-Clo1313_0147      	 3.99214537E-05
PROSYN-Clo1313_0148      	 1.37158493E-03
PROSYN-Clo1313_0152      	 0.00000000E+00
PROSYN-Clo1313_0165      	 3.19554527E-02
PROSYN-Clo1313_0168      	 6.88028058E-02
PROSYN-Clo1313_0169      	 1.58203982E-02
PROSYN-Clo1313_0172      	 1.82352328E-02
PROSYN-Clo1313_0175      	 3.79861247E-02
PROSYN-Clo1313_0177      	 8.92712478E-03
PROSYN-Clo1313_0184      	 4.60843666E-02
PROSYN-Clo1313_0185      	 2.85041790E-01
PROSYN-Clo1313_0186      	 4.78002116E-02
PROSYN-Clo1313_0188      	 1.61819978E-02
PROSYN-Clo1313_0189      	 2.18206063E-03
PROSYN-Clo1313_0190      	 1.22702343E-01
PROSYN-Clo1313_0191      	 3.10620052E-03
PROSYN-Clo1313_0192      	 1.26110999E-03
PROSYN-Clo1313_0193      	 9.89679190E-02
PROSYN-Clo1313_0194      	 1.75325180E-02
PROSYN-Clo1313_0195      	 1.49025233E-01
PROSYN-Clo1313_0196      	 3.98284753E-02
PROSYN-Clo1313_0202      	 1.06644565E-02
PROSYN-Clo1313_0213      	 4.52563129E-02
PROSYN-Clo1313_0214      	 1.66920050E-02
PROSYN-Clo1313_0217      	 1.35127929E-01
PROSYN-Clo1313_0218      	 5.55486562E-01
PROSYN-Clo1313_0224      	 0.00000000E+00
PROSYN-Clo1313_0228      	 0.00000000E+00
PROSYN-Clo1313_0229      	 0.00000000E+00
PROSYN-Clo1313_0230      	 0.00000000E+00
PROSYN-Clo1313_0234      	 1.63365340E-04
PROSYN-Clo1313_0236      	 0.00000000E+00
PROSYN-Clo1313_0238      	 0.00000000E+00
PROSYN-Clo1313_0239      	 5.79616725E-03
PROSYN-Clo1313_0245      	 1.08433204E-01
PROSYN-Clo1313_0262      	 4.18663460E+00
PROSYN-Clo1313_0275      	 5.77787437E-03
PROSYN-Clo1313_0288      	 2.14166575E-02
PROSYN-Clo1313_0295      	 2.69231380E-01
PROSYN-Clo1313_0296      	 8.54470053E-01
PROSYN-Clo1313_0304      	 1.63851411E+00
PROSYN-Clo1313_0305      	 5.00155172E-01
PROSYN-Clo1313_0306      	 2.60841730E+01
PROSYN-Clo1313_0309      	 1.55726613E+00
PROSYN-Clo1313_0310      	 1.55726613E+00
PROSYN-Clo1313_0311      	 1.55726613E+00
PROSYN-Clo1313_0313      	 5.06051532E-01
PROSYN-Clo1313_0314      	 5.25249070E-01
PROSYN-Clo1313_0315      	 1.55726613E+00
PROSYN-Clo1313_0316      	 1.55726613E+00
PROSYN-Clo1313_0317      	 1.55726613E+00
PROSYN-Clo1313_0346      	 2.31363178E-03
PROSYN-Clo1313_0349      	 5.74620055E-02
PROSYN-Clo1313_0350      	 5.03090358E-02
PROSYN-Clo1313_0365      	 6.95009057E-03
PROSYN-Clo1313_0370      	 0.00000000E+00
PROSYN-Clo1313_0372      	 0.00000000E+00
PROSYN-Clo1313_0373      	 0.00000000E+00
PROSYN-Clo1313_0374      	 0.00000000E+00
PROSYN-Clo1313_0378      	 0.00000000E+00
PROSYN-Clo1313_0380      	 0.00000000E+00
PROSYN-Clo1313_0382      	 0.00000000E+00
PROSYN-Clo1313_0383      	 0.00000000E+00
PROSYN-Clo1313_0384      	 0.00000000E+00
PROSYN-Clo1313_0385      	 0.00000000E+00
PROSYN-Clo1313_0387      	 2.44082526E-01
PROSYN-Clo1313_0388      	 5.99058453E-02
PROSYN-Clo1313_0391      	 3.32713682E-03
PROSYN-Clo1313_0397      	 8.47799527E-02
PROSYN-Clo1313_0398      	 4.55281642E-03
PROSYN-Clo1313_0399      	 5.00821905E-03
PROSYN-Clo1313_0400      	 1.55711846E-01
PROSYN-Clo1313_0403      	 4.58754546E-01
PROSYN-Clo1313_0413      	 2.44830510E+00
PROSYN-Clo1313_0415      	 5.60625557E+00
PROSYN-Clo1313_0420      	 0.00000000E+00
PROSYN-Clo1313_0421      	 2.52800979E-02
PROSYN-Clo1313_0422      	 5.64124072E-03
PROSYN-Clo1313_0423      	 4.49677831E-02
PROSYN-Clo1313_0424      	 2.76525323E-03
PROSYN-Clo1313_0425      	 3.55684738E-02
PROSYN-Clo1313_0426      	 4.61909798E-01
PROSYN-Clo1313_0427      	 1.42774206E-02
PROSYN-Clo1313_0428      	 5.27505075E-02
PROSYN-Clo1313_0429      	 1.72636454E-01
PROSYN-Clo1313_0430      	 1.22353083E-01
PROSYN-Clo1313_0436      	 9.74437706E-02
PROSYN-Clo1313_0444      	 1.55726613E+00
PROSYN-Clo1313_0445      	 1.55726613E+00
PROSYN-Clo1313_0446      	 1.55726613E+00
PROSYN-Clo1313_0447      	 1.55726613E+00
PROSYN-Clo1313_0448      	 1.55726613E+00
PROSYN-Clo1313_0449      	 1.55726613E+00
PROSYN-Clo1313_0450      	 1.55726613E+00
PROSYN-Clo1313_0451      	 1.55726613E+00
PROSYN-Clo1313_0452      	 1.55726613E+00
PROSYN-Clo1313_0453      	 1.55726613E+00
PROSYN-Clo1313_0454      	 1.55726613E+00
PROSYN-Clo1313_0455      	 1.55726613E+00
PROSYN-Clo1313_0456      	 1.55726613E+00
PROSYN-Clo1313_0457      	 1.55726613E+00
PROSYN-Clo1313_0458      	 1.55726613E+00
PROSYN-Clo1313_0459      	 1.55726613E+00
PROSYN-Clo1313_0460      	 1.55726613E+00
PROSYN-Clo1313_0461      	 1.55726613E+00
PROSYN-Clo1313_0462      	 1.55726613E+00
PROSYN-Clo1313_0463      	 1.55726613E+00
PROSYN-Clo1313_0464      	 1.55726613E+00
PROSYN-Clo1313_0466      	 8.22441720E-01
PROSYN-Clo1313_0470      	 1.55726613E+00
PROSYN-Clo1313_0471      	 1.55726613E+00
PROSYN-Clo1313_0472      	 1.55726613E+00
PROSYN-Clo1313_0473      	 1.55726613E+00
PROSYN-Clo1313_0474      	 1.00671863E+00
PROSYN-Clo1313_0475      	 1.55726613E+00
PROSYN-Clo1313_0476      	 2.30430361E-03
PROSYN-Clo1313_0486      	 1.18167502E-03
PROSYN-Clo1313_0487      	 7.22075473E-03
PROSYN-Clo1313_0488      	 5.09240887E-03
PROSYN-Clo1313_0489      	 5.31931602E-01
PROSYN-Clo1313_0492      	 1.22610021E-02
PROSYN-Clo1313_0497      	 2.78063671E-02
PROSYN-Clo1313_0498      	 2.81217268E-01
PROSYN-Clo1313_0501      	 1.76768409E-03
PROSYN-Clo1313_0511      	 5.99139493E-02
PROSYN-Clo1313_0512      	 8.30529201E-02
PROSYN-Clo1313_0521      	 9.18610194E-02
PROSYN-Clo1313_0530      	 0.00000000E+00
PROSYN-Clo1313_0531      	 4.58745346E-01
PROSYN-Clo1313_0542      	 0.00000000E+00
PROSYN-Clo1313_0551      	 6.92990512E-03
PROSYN-Clo1313_0554      	 1.65224783E-02
PROSYN-Clo1313_0564      	 6.18799241E-03
PROSYN-Clo1313_0565      	 1.15939815E-03
PROSYN-Clo1313_0566      	 4.18261002E-03
PROSYN-Clo1313_0567      	 5.61140922E-04
PROSYN-Clo1313_0568      	 2.59357802E-02
PROSYN-Clo1313_0569      	 0.00000000E+00
PROSYN-Clo1313_0570      	 8.58689380E-04
PROSYN-Clo1313_0571      	 1.91986558E-02
PROSYN-Clo1313_0572      	 2.18533537E-02
PROSYN-Clo1313_0573      	 0.00000000E+00
PROSYN-Clo1313_0574      	 0.00000000E+00
PROSYN-Clo1313_0575      	 0.00000000E+00
PROSYN-Clo1313_0578      	 1.48706584E+00
PROSYN-Clo1313_0579      	 2.43828890E-02
PROSYN-Clo1313_0586      	 1.84834017E+00
PROSYN-Clo1313_0592      	 0.00000000E+00
PROSYN-Clo1313_0605      	 0.00000000E+00
PROSYN-Clo1313_0613      	 1.26699370E-02
PROSYN-Clo1313_0626      	 1.33113370E-02
PROSYN-Clo1313_0627      	 0.00000000E+00
PROSYN-Clo1313_0628      	 0.00000000E+00
PROSYN-Clo1313_0629      	 0.00000000E+00
PROSYN-Clo1313_0636      	 1.34694095E-01
PROSYN-Clo1313_0640      	 1.03858126E-01
PROSYN-Clo1313_0641      	 5.54676101E-02
PROSYN-Clo1313_0645      	 3.77223688E-01
PROSYN-Clo1313_0648      	 2.34073218E-02
PROSYN-Clo1313_0650      	 0.00000000E+00
PROSYN-Clo1313_0651      	 1.15551852E-02
PROSYN-Clo1313_0652      	 1.72618741E-02
PROSYN-Clo1313_0654      	 2.32407380E-03
PROSYN-Clo1313_0657      	 4.26146972E-02
PROSYN-Clo1313_0658      	 1.16306346E-02
PROSYN-Clo1313_0666      	 2.61725276E-03
